year,Type_of_Crime,n
2011,Total Victims Of Murder,16
2011,Total Victims Of Rape,246
2011,Total Victims Of Rioting,369
2011,Total Victims Of Robbery,538
2011,Total Victims Of Serious Hurt,488
2011,Total Victims Of Snatch Theft,400
2012,Total Victims Of Murder,11
2012,Total Victims Of Rape,220
2012,Total Victims Of Rioting,428
2012,Total Victims Of Robbery,379
2012,Total Victims Of Serious Hurt,546
2012,Total Victims Of Snatch Theft,328
2013,Total Victims Of Murder,19
2013,Total Victims Of Rape,202
2013,Total Victims Of Rioting,356
2013,Total Victims Of Robbery,311
2013,Total Victims Of Serious Hurt,573
2013,Total Victims Of Snatch Theft,269
2014,Total Victims Of Murder,15
2014,Total Victims Of Rape,270
2014,Total Victims Of Rioting,314
2014,Total Victims Of Robbery,295
2014,Total Victims Of Serious Hurt,576
2014,Total Victims Of Snatch Theft,177
2015,Total Victims Of Murder,14
2015,Total Victims Of Rape,260
2015,Total Victims Of Rioting,230
2015,Total Victims Of Robbery,139
2015,Total Victims Of Serious Hurt,568
2015,Total Victims Of Snatch Theft,92
2016,Total Victims Of Murder,18
2016,Total Victims Of Rape,244
2016,Total Victims Of Rioting,253
2016,Total Victims Of Robbery,116
2016,Total Victims Of Serious Hurt,583
2016,Total Victims Of Snatch Theft,70
2017,Total Victims Of Murder,11
2017,Total Victims Of Rape,286
2017,Total Victims Of Rioting,195
2017,Total Victims Of Robbery,83
2017,Total Victims Of Serious Hurt,502
2017,Total Victims Of Snatch Theft,59
2018,Total Victims Of Murder,9
2018,Total Victims Of Rape,329
2018,Total Victims Of Rioting,210
2018,Total Victims Of Robbery,86
2018,Total Victims Of Serious Hurt,494
2018,Total Victims Of Snatch Theft,54
2019,Total Victims Of Murder,12
2019,Total Victims Of Rape,446
2019,Total Victims Of Rioting,182
2019,Total Victims Of Robbery,76
2019,Total Victims Of Serious Hurt,494
2019,Total Victims Of Snatch Theft,38
