year,Type_of_Crime,n
2011,Total Victims Of Cheating & Related,2448
2011,Total Victims Of Outrage Of Modesty,2016
2011,Total Victims,6521
2012,Total Victims Of Cheating & Related,2020
2012,Total Victims Of Outrage Of Modesty,1995
2012,Total Victims,5927
2013,Total Victims Of Cheating & Related,2500
2013,Total Victims Of Outrage Of Modesty,1937
2013,Total Victims,6167
2014,Total Victims Of Cheating & Related,4255
2014,Total Victims Of Outrage Of Modesty,1954
2014,Total Victims,7856
2015,Total Victims Of Cheating & Related,7342
2015,Total Victims Of Outrage Of Modesty,1834
2015,Total Victims,10479
2016,Total Victims Of Cheating & Related,7152
2016,Total Victims Of Outrage Of Modesty,1747
2016,Total Victims,10183
2017,Total Victims Of Cheating & Related,7176
2017,Total Victims Of Outrage Of Modesty,2226
2017,Total Victims,10538
2018,Total Victims Of Cheating & Related,8067
2018,Total Victims Of Outrage Of Modesty,2442
2018,Total Victims,11691
2019,Total Victims Of Cheating & Related,11693
2019,Total Victims Of Outrage Of Modesty,2282
2019,Total Victims,15223
